1995-96 UPPER DECK MICHAEL JORDAN PREDICTOR CARD #R2,$160,n/a,
1995 Upper Deck Collectors Choice Michael Jordan #353,$350,GMA 10,
1992-93 Fleer Ultra #27 Michael Jordan,$350,BGS 9.5,
1992-93 Fleer Ultra #27 Michael Jordan,$350,BGS 9.5,
1992 Upper Deck #23 Michael Jordan,"$1,450",PSA 10,
1992 - 1993 Upper Deck McDonald's #P5 Michael Jordan Chicago Bulls,$120,n/a,
1992-93 Fleer Slam Dunk Michael Jordan #273,$100,PSA 9,
1993 Fleer Ultra # 30 Michael Jordan,$499,PSA 10,
1995 Collector's Choice #210 - MICHAEL JORDAN,$44,PSA 9,
1995 Collector's Choice #210 - MICHAEL JORDAN,$44,PSA 9,
Michael Jordan 1995 Collectors Choice CHECKLIST 311-410 #410,$149,PSA 10,
Michael Jordan 1995 Collectors Choice CHECKLIST 311-410 #410,$149,PSA 10,
"1995 Collectors Choice ""He's Back"" #M5 MICHAEL JORDAN",$210,PSA 10,
1996-97 Topps Stadium Club Golden Moments #GM3 Michael Jordan Rodman ,$199,BGS 9.5,
1995-96 FLEER ULTRA GOLD MEDALLION MICHAEL JORDAN #25,$119,n/a,
Michael Jordan 1996 Topps Golden Season #74,$220,PSA 10,
1996 Fleer Basketball Michael Jordan #13,$197,BGS 9.5,
1996 Upper Deck Jordan Greater Heights Michael Jordan #GH7,$56,BGS 9,
1992-93 Skybox Michael Jordan #314,$200,PSA 10,
1995-1996 Topps Stadium Club SS1 Michael Jordan,$200,PSA 10,
1993 Skybox Michael Jordan vs Drexler Card #SS11 ,$69,PSA 9,
1995 Topps Top Flight Michael Jordan #TF1,"$1,295",PSA 10,
1993 Upper Deck Locker Talk Michael Jordan # LT1,$97,BGS 8.5,
1995-96 Fleer Total D #3 Michael Jordan Chicago Bulls,$321,PSA 10,
Michael Jordan 1995 Topps #1 Active Leader,$275,PSA 10,
1995-96 TOPPS MICHAEL JORDAN #4 ACTIVE LEADER STEALS,$48,SGC 10,
Michael Jordan 1993-94 Topps Stadium Club 1994 NBA Finals Stamp #181,$27,n/a,
1995-96 NBA Hoops Number Crunchers #1 Michael Jordan Bulls ,$787,PSA 10,
1995 Topps Stadium Club Michael Jordan #1,$300,PSA 10,
MICHAEL JORDAN 1996 UPPER DECK SP #23,$99,PSA 9,
1996 COLLECTOR'S CHOICE #370 MICHAEL JORDAN-SCOTTIE PIPPEN,$104,PSA 10,
Michael Jordan METAL Scoring Magnets Last Dance INSERT High End 1995,"$2,769", PSA 8,
1992 Skybox Olympic Team Michael Jordan #USA11,$990,BGS 9.5,
1993 Upper Deck SE Retirement Michael Jordan #MJR1,"$3,200",PSA 10,
"Michael Jordan 1994 UD Jordan Heroes 1984 1992 ""Good as GOLD"" #42 ",$499,PSA 10,
1994 UD JORDAN HEROES #39 MICHAEL JORDAN,$499,PSA 10,
1994 UD Jordan Heroes Michael Jordan,$104,PSA 9,
1996 UPPER DECK EXCELLENCE MICHAEL JORDAN DAVID ROBINSON #165,$191,PSA 10,
2002 FLEER PLATINUM #91 MICHAEL JORDAN WIZARDS,$202,PSA 10,
1995 U.D. Collector's Choice MICHAEL JORDAN SPANISH #169,$568,PSA 10,
1996 Collector's Choice International German Michael Jordan #195,$69,PSA 9,
96 UPPER DECK UD JORDAN PIPPEN RODMAN #139 ,$152,PSA 10,
1993-94 Shaquille O'Neal Fleer Ultra Scoring Kings,$300,PSA 8,
1993-94 Fleer Ultra Charles Barkley Scoring Kings #1 Suns,$264,PSA 9,
1993 Ultra Scoring Kings Patrick Ewing #3,$188,PSA 9,
1993-94 Ultra Scoring Kings #2 Joe Dumars,$54,n/a,
1993 Fleer Ultra Scoring Kings Karl Malone ,$175,PSA 9,
Larry Johnson 1993-1994 Fleer Ultra Scoring Kings,$85,n/a,
1993-94 Fleer Ultra Scoring Kings Alonzo Mourning #7,$80,PSA 8,
1993 David Robinson Scoring Kings Fleer Ultra #9 ,$80,PSA 8,
1993-94 Fleer Ultra Scoring Kings #10 Dominique Wilkins ,$83,PSA 8,
1995 UPPER DECK #335 MICHAEL JORDAN BULLS,$224,PSA 10,
1995-96 Upper Deck Michael Jordan Slams & Jams #352,$325,PSA 10,
Michael Jordan 1995-96 Upper Deck Electric Court GOLD Parallel #337,$160,n/a,
MICHAEL JORDAN 1993-94 Fleer Ultra #30 ,$450,PSA 10,
1996 Upper Deck Basketball Michael Jordan #16,$305,PSA 10,
1995-96 Upper Deck SP Michael Jordan Gold Promo #23,$49,n/a,
1994-1995 Michael Jordan Chicago Bulls Upper Deck #359,$29,PSA 9,
1995 Michael Jordan Upper Deck SP Championship He's Back #41,$20,SGC 9.5,
1993 Upper Deck Seven Straight #SP3 Michael Jordan / Chamberlain ,$103,PSA 10,
Michael Jordan 1996 Collector's Choice SPANISH #C30,$299,PSA 10,
Michael Jordan 1996 Collector's Choice SPANISH #C30,$299,PSA 10,
Michael Jordan 1996 Collectors Choice Crash The Game SILVER #C30,$50,PSA 9,
1996 Upper Deck Champions of the Court Michael Jordan DIE CUT #C30 ,$447,BGS 8.5,
1994 Upper Deck USA Basketball Michael Jordan #85,$570,PSA 10,
1997-98 Skybox Premium Set Break #247 Michael Jordan,$16,n/a,
Michael Jordan 1996 Topps Gallery The Masters #10,$27,n/a,
1993-94 Fleer Ultra #30 Michael Jordan Chicago Bulls,$350,PSA 10,
1994 Coll. Choice Basketball Heroes Michael Jordan #215,$20,PSA 8,
1996 96-97 Upper Deck Greater Heights Michael Jordan #GH4,$20,n/a,
